projection_1	angle_1	projection_2	angle_2	score
85	205	2	255	249.63110256172598
2	75	86	35	70.0317484886649
86	35	2	75	70.0317484886649
2	95	87	330	80.53358619066297
87	330	2	95	80.53358619066297
2	330	88	160	15.692770906112614
88	160	2	330	15.692770906112614
2	30	89	30	12.748710581209188
89	30	2	30	12.748710581209188
2	115	90	5	18.987098281186686
90	5	2	115	18.987098281186686
2	105	91	165	119.48620992880096
91	165	2	105	119.48620992880096
2	105	92	340	122.23892770604245
92	340	2	105	122.23892770604245
2	325	93	180	25.634575425936106
93	180	2	325	25.634575425936106
2	80	94	35	24.303067278507804
94	35	2	80	24.303067278507804
2	255	95	70	32.193505369981544
95	70	2	255	32.193505369981544
2	90	96	35	88.64703170125361
96	35	2	90	88.64703170125361
2	90	97	130	73.3453365533748
97	130	2	90	73.3453365533748
2	280	98	165	72.4476565782926
98	165	2	280	72.4476565782926
2	65	99	255	26.424444036305946
99	255	2	65	26.424444036305946
3	90	4	135	30.759775715115975
4	135	3	90	30.759775715115975
3	280	5	155	27.662410457964025
5	155	3	280	27.662410457964025
3	65	6	130	108.38401572301397
6	130	3	65	108.38401572301397
3	30	7	315	114.17526172508754
7	315	3	30	114.17526172508754
3	260	8	295	21.32684921206983
8	295	3	260	21.32684921206983
3	335	9	180	25.216957457332867
9	180	3	335	25.216957457332867
3	95	10	305	108.9500351988531
10	305	3	95	108.9500351988531
3	100	11	180	42.390667376817674
11	180	3	100	42.390667376817674
3	200	12	160	94.61489701035909
12	160	3	200	94.61489701035909
3	35	13	225	21.647127652026803
13	225	3	35	21.647127652026803
3	145	14	355	18.76971181796466
14	355	3	145	18.76971181796466
3	110	15	130	34.99782579080151
15	130	3	110	34.99782579080151
3	85	16	355	83.10562944169111
16	355	3	85	83.10562944169111
3	240	17	245	34.28467222251347
17	245	3	240	34.28467222251347
3	100	18	335	33.08181540808313
18	335	3	100	33.08181540808313
3	15	19	30	25.996003059419376
19	30	3	15	25.996003059419376
3	270	20	315	118.59127021836866
20	315	3	270	118.59127021836866
3	265	21	70	102.01757080596961
21	70	3	265	102.01757080596961
3	155	22	150	54.81900656917862
22	150	3	155	54.81900656917862
3	130	23	120	34.409901132247974
23	120	3	130	34.409901132247974
3	295	24	160	62.16780490708221
24	160	3	295	62.16780490708221
3	245	25	220	105.48173657852486
25	220	3	245	105.48173657852486
3	280	26	145	26.976342552212753
26	145	3	280	26.976342552212753
3	250	27	195	31.752015205085684
27	195	3	250	31.752015205085684
3	340	28	350	99.07456033438463
28	350	3	340	99.07456033438463
3	70	29	0	83.73808368764226
29	0	3	70	83.73808368764226
3	280	30	110	73.5174228004281
30	110	3	280	73.5174228004281
3	280	31	90	25.880684292763107
31	90	3	280	25.880684292763107
3	70	32	105	72.14055967782305
32	105	3	70	72.14055967782305
3	85	33	80	95.46771293693641
33	80	3	85	95.46771293693641
3	320	34	130	6.146624056173351
34	130	3	320	6.146624056173351
3	310	35	150	33.433764492217904
35	150	3	310	33.433764492217904
3	280	36	160	32.473790802747466
36	160	3	280	32.473790802747466
3	65	37	5	60.97780592757313
37	5	3	65	60.97780592757313
3	160	38	205	15.220324730774964
38	205	3	160	15.220324730774964
3	95	39	0	93.64017341127155
39	0	3	95	93.64017341127155
3	85	40	15	40.601405976193355
40	15	3	85	40.601405976193355
3	265	41	220	28.34572194671862
41	220	3	265	28.34572194671862
3	85	42	200	71.25590682352558
42	200	3	85	71.25590682352558
3	310	43	160	58.102581532483306
43	160	3	310	58.102581532483306
3	315	44	355	10.137507934588724
44	355	3	315	10.137507934588724
3	65	45	310	77.36412435374
45	310	3	65	77.36412435374
3	100	46	105	10.334542838245591
46	105	3	100	10.334542838245591
3	150	47	195	24.36987778262675
47	195	3	150	24.36987778262675
3	130	48	175	91.02612091566392
48	175	3	130	91.02612091566392
3	155	49	5	22.687755857477445
49	5	3	155	22.687755857477445
3	265	50	225	26.892958662973786
50	225	3	265	26.892958662973786
3	280	51	310	19.93155372225222
51	310	3	280	19.93155372225222
3	285	52	50	99.95204325651686
52	50	3	285	99.95204325651686
3	195	53	155	165.6799057708833
53	155	3	195	165.6799057708833
3	120	54	145	93.40724096820513
54	145	3	120	93.40724096820513
3	340	55	315	10.773734459091214
55	315	3	340	10.773734459091214
3	85	56	140	104.49048317191092
56	140	3	85	104.49048317191092
3	140	57	185	20.086714756716304
57	185	3	140	20.086714756716304
3	35	58	125	24.225410917347528
58	125	3	35	24.225410917347528
3	105	59	150	22.765268677589138
59	150	3	105	22.765268677589138
3	300	60	350	96.69178673855188
60	350	3	300	96.69178673855188
3	95	61	280	106.24695737512955
61	280	3	95	106.24695737512955
3	270	62	15	27.948515560503665
62	15	3	270	27.948515560503665
3	130	63	35	25.549896602380294
63	35	3	130	25.549896602380294
3	300	64	350	92.46545644518874
64	350	3	300	92.46545644518874
3	265	65	65	31.1798118837644
65	65	3	265	31.1798118837644
3	280	66	155	104.95233426657934
66	155	3	280	104.95233426657934
3	65	67	55	29.903139823309715
67	55	3	65	29.903139823309715
3	260	68	190	20.31378382118502
68	190	3	260	20.31378382118502
3	305	69	185	31.379603925550686
69	185	3	305	31.379603925550686
3	60	70	135	194.6744689794352
70	135	3	60	194.6744689794352
3	200	71	115	94.40010777014446
71	115	3	200	94.40010777014446
3	280	72	295	103.62466563227248
72	295	3	280	103.62466563227248
3	295	73	160	114.75125621755996
73	160	3	295	114.75125621755996
3	250	74	275	116.22319757827155
74	275	3	250	116.22319757827155
3	295	75	320	117.21338412128088
75	320	3	295	117.21338412128088
3	340	76	80	118.2344861790591
76	80	3	340	118.2344861790591
3	60	77	45	107.79636863164313
77	45	3	60	107.79636863164313
3	335	78	155	24.084003870970253
78	155	3	335	24.084003870970253
3	95	79	170	59.250127601313295
79	170	3	95	59.250127601313295
3	335	80	350	25.586592903746
80	350	3	335	25.586592903746
3	275	81	270	20.153481245156822
81	270	3	275	20.153481245156822
3	100	82	335	20.46349574736354
82	335	3	100	20.46349574736354
3	285	83	345	28.852093792174212
83	345	3	285	28.852093792174212
3	35	84	295	25.764446542170433
84	295	3	35	25.764446542170433
3	220	85	205	239.10488256559498
85	205	3	220	239.10488256559498
3	65	86	30	75.42013086227374
86	30	3	65	75.42013086227374
3	275	87	140	86.67086026622482
87	140	3	275	86.67086026622482
3	40	88	40	16.4942001437599
88	40	3	40	16.4942001437599
3	235	89	240	29.601632664794312
89	240	3	235	29.601632664794312
3	130	90	190	25.407799275958943
90	190	3	130	25.407799275958943
3	295	91	165	112.9941984240465
91	165	3	295	112.9941984240465
3	115	92	155	115.00972506972415
92	155	3	115	115.00972506972415
3	340	93	20	26.789473341654116
93	20	3	340	26.789473341654116
3	100	94	225	28.927764229445817
94	225	3	100	28.927764229445817
3	90	95	75	35.001285629580835
95	75	3	90	35.001285629580835
3	250	96	90	94.24244580334711
96	90	3	250	94.24244580334711
3	105	97	310	78.47504996347047
97	310	3	105	78.47504996347047
3	290	98	340	78.10793192085947
98	340	3	290	78.10793192085947
3	260	99	255	17.12439337957187
99	255	3	260	17.12439337957187
4	305	5	135	15.222109159585635
5	135	4	305	15.222109159585635
4	125	6	200	124.43975682773832
6	200	4	125	124.43975682773832
4	140	7	310	130.36137422504794
